iter	Passed	Remaining
0	34	34153
1	68	34033
2	98	32881
3	132	32878
4	166	33219
5	203	33709
6	239	34008
7	280	34755
8	316	34847
9	350	34697
10	384	34589
11	420	34619
12	451	34307
13	487	34316
14	520	34199
15	556	34225
16	590	34116
17	625	34118
18	658	33993
19	692	33924
20	728	33957
21	763	33924
22	809	34391
23	861	35038
24	921	35934
25	970	36352
26	1009	36367
27	1047	36362
28	1084	36313
29	1122	36281
30	1156	36147
31	1196	36182
32	1234	36185
33	1269	36070
34	1306	36009
35	1339	35881
36	1377	35856
37	1414	35805
38	1469	36222
39	1528	36680
40	1575	36841
41	1611	36762
42	1652	36787
43	1690	36719
44	1726	36648
45	1780	36918
46	1816	36836
47	1854	36776
48	1892	36736
49	1928	36636
50	1965	36567
51	2021	36848
52	2067	36942
53	2109	36948
54	2146	36884
55	2184	36821
56	2223	36782
57	2260	36714
58	2302	36726
59	2336	36610
60	2371	36509
61	2405	36388
62	2441	36310
63	2477	36235
64	2524	36317
65	2568	36349
66	2604	36272
67	2648	36300
68	2688	36275
69	2725	36206
70	2765	36187
71	2803	36129
72	2837	36037
73	2875	35979
74	2910	35898
75	2945	35813
76	2982	35755
77	3023	35735
78	3057	35647
79	3093	35572
80	3128	35490
81	3160	35382
82	3192	35266
83	3228	35204
84	3260	35101
85	3294	35009
86	3331	34960
87	3370	34935
88	3407	34874
89	3440	34782
90	3474	34706
91	3507	34616
92	3541	34541
93	3579	34501
94	3615	34442
95	3650	34378
96	3684	34301
97	3717	34217
98	3751	34143
99	3798	34184
100	3846	34237
101	3884	34196
102	3917	34120
103	3954	34070
104	3987	33991
105	4028	33978
106	4067	33942
107	4101	33876
108	4135	33801
109	4167	33719
110	4203	33669
111	4252	33712
112	4286	33647
113	4321	33585
114	4355	33517
115	4389	33454
116	4427	33413
117	4462	33355
118	4494	33275
119	4529	33214
120	4575	33240
121	4611	33187
122	4646	33127
123	4680	33066
124	4720	33044
125	4754	32976
126	4786	32904
127	4821	32843
128	4858	32806
129	4892	32740
130	4933	32727
131	4968	32674
132	5003	32616
133	5050	32637
134	5086	32589
135	5119	32523
136	5152	32453
137	5193	32440
138	5235	32432
139	5276	32414
140	5312	32367
141	5348	32317
142	5385	32273
143	5418	32211
144	5459	32193
145	5490	32113
146	5525	32063
147	5558	31997
148	5593	31947
149	5626	31884
150	5663	31843
151	5702	31812
152	5739	31770
153	5771	31704
154	5811	31684
155	5857	31692
156	5895	31654
157	5930	31602
158	5967	31561
159	6011	31557
160	6047	31515
161	6097	31539
162	6139	31524
163	6187	31542
164	6234	31550
165	6268	31495
166	6305	31449
167	6341	31404
168	6376	31352
169	6410	31298
170	6447	31254
171	6483	31213
172	6526	31198
173	6564	31162
174	6601	31119
175	6636	31069
176	6672	31024
177	6711	30993
178	6748	30953
179	6791	30939
180	6828	30899
181	6865	30855
182	6901	30809
183	6936	30761
184	6971	30714
185	7009	30674
186	7045	30632
187	7080	30580
188	7120	30556
189	7158	30515
190	7194	30474
191	7231	30434
192	7269	30395
193	7305	30352
194	7341	30306
195	7377	30262
196	7411	30210
197	7444	30155
198	7478	30102
199	7514	30058
200	7552	30021
201	7598	30018
202	7634	29972
203	7673	29941
204	7708	29895
205	7745	29853
206	7781	29810
207	7819	29772
208	7854	29725
209	7888	29676
210	7924	29630
211	7966	29610
212	8007	29586
213	8042	29539
214	8086	29524
215	8122	29483
216	8165	29463
217	8202	29423
218	8244	29400
219	8281	29360
220	8316	29313
221	8353	29273
222	8388	29228
223	8427	29194
224	8463	29151
225	8496	29098
226	8536	29067
227	8570	29018
228	8603	28966
229	8640	28927
230	8675	28882
231	8711	28838
232	8743	28783
233	8781	28746
234	8820	28712
235	8857	28673
236	8893	28632
237	8929	28589
238	8963	28539
239	9009	28531
240	9046	28491
241	9081	28445
242	9116	28401
243	9151	28355
244	9187	28312
245	9226	28279
246	9267	28251
247	9310	28232
248	9346	28189
249	9385	28157
250	9422	28118
251	9458	28076
252	9492	28028
253	9529	27987
254	9566	27950
255	9600	27901
256	9635	27855
257	9670	27812
258	9706	27771
259	9748	27744
260	9784	27703
261	9827	27682
262	9862	27637
263	9897	27592
264	9931	27547
265	10052	27738
266	10153	27873
267	10244	27981
268	10296	27981
269	10335	27943
270	10371	27899
271	10407	27855
272	10443	27812
273	10477	27761
274	10512	27714
275	10546	27664
276	10579	27614
277	10612	27562
278	10645	27510
279	10680	27464
280	10716	27420
281	10748	27367
282	10787	27330
283	10834	27314
284	10875	27284
285	10915	27249
286	10955	27217
287	10992	27174
288	11026	27127
289	11059	27077
290	11094	27031
291	11130	26988
292	11163	26937
293	11201	26898
294	11235	26851
295	11272	26809
296	11311	26774
297	11361	26764
298	11402	26733
299	11441	26697
300	11477	26653
301	11509	26601
302	11543	26554
303	11577	26506
304	11617	26473
305	11666	26458
306	11712	26437
307	11751	26402
308	11795	26378
309	11841	26356
310	11901	26367
311	11968	26392
312	12018	26380
313	12063	26355
314	12105	26325
315	12146	26292
316	12193	26271
317	12237	26244
318	12279	26215
319	12328	26197
320	12378	26183
321	12432	26177
322	12477	26153
323	12527	26136
324	12571	26110
325	12613	26078
326	12654	26045
327	12697	26013
328	12741	25985
329	12787	25963
330	12838	25947
331	12886	25927
332	12931	25902
333	12980	25883
334	13020	25846
335	13064	25817
336	13109	25790
337	13155	25765
338	13219	25776
339	13276	25772
340	13354	25808
341	13450	25878
342	13524	25906
343	13578	25894
344	13637	25890
345	13681	25860
346	13715	25810
347	13751	25763
348	13792	25727
349	13836	25695
350	13873	25651
351	13912	25612
352	13967	25600
353	14016	25578
354	14059	25545
355	14111	25527
356	14173	25527
357	14223	25506
358	14257	25456
359	14290	25406
360	14328	25362
361	14365	25318
362	14408	25283
363	14448	25245
364	14489	25208
365	14533	25176
366	14579	25146
367	14625	25117
368	14668	25083
369	14705	25039
370	14745	24999
371	14779	24949
372	14812	24899
373	14858	24869
374	14892	24820
375	14928	24775
376	14965	24731
377	15008	24696
378	15052	24663
379	15085	24613
380	15119	24563
381	15166	24536
382	15207	24498
383	15247	24460
384	15284	24415
385	15320	24369
386	15357	24326
387	15401	24292
388	15445	24260
389	15485	24221
390	15521	24175
391	15570	24150
392	15605	24103
393	15642	24059
394	15679	24015
395	15713	23966
396	15755	23930
397	15791	23885
398	15826	23838
399	15862	23793
400	15897	23747
401	15936	23706
402	15981	23674
403	16017	23630
404	16054	23585
405	16090	23541
406	16133	23506
407	16182	23480
408	16221	23439
409	16256	23393
410	16304	23365
411	16341	23322
412	16376	23276
413	16410	23229
414	16443	23180
415	16478	23133
416	16516	23091
417	16551	23046
418	16589	23004
419	16635	22972
420	16671	22928
421	16708	22885
422	16744	22841
423	16781	22798
424	16822	22760
425	16858	22715
426	16893	22669
427	16932	22629
428	16976	22596
429	17013	22552
430	17050	22509
431	17083	22462
432	17120	22418
433	17155	22373
434	17191	22329
435	17228	22285
436	17276	22257
437	17313	22215
438	17362	22187
439	17403	22149
440	17446	22115
441	17485	22074
442	17520	22029
443	17563	21994
444	17603	21955
445	17650	21924
446	17691	21887
447	17740	21858
448	17781	21821
449	17827	21789
450	17866	21748
451	17916	21721
452	17964	21691
453	18009	21658
454	18047	21617
455	18102	21595
456	18140	21554
457	18175	21509
458	18212	21465
459	18247	21421
460	18283	21377
461	18320	21334
462	18359	21293
463	18397	21252
464	18434	21210
465	18471	21167
466	18509	21125
467	18543	21079
468	18583	21039
469	18642	21022
470	18680	20981
471	18716	20936
472	18752	20893
473	18789	20850
474	18828	20810
475	18862	20764
476	18898	20720
477	18931	20674
478	18967	20631
479	19001	20585
480	19037	20541
481	19073	20498
482	19112	20458
483	19153	20420
484	19186	20373
485	19221	20328
486	19256	20284
487	19291	20239
488	19323	20192
489	19356	20147
490	19388	20099
491	19421	20052
492	19455	20008
493	19494	19968
494	19537	19932
495	19573	19888
496	19607	19843
497	19640	19798
498	19675	19753
499	19709	19709
500	19746	19667
501	19788	19631
502	19829	19593
503	19865	19549
504	19898	19504
505	19935	19462
506	19970	19419
507	20003	19373
508	20040	19331
509	20081	19294
510	20124	19258
511	20163	19218
512	20199	19176
513	20235	19133
514	20273	19092
515	20319	19058
516	20369	19029
517	20409	18991
518	20447	18950
519	20483	18907
520	20519	18865
521	20556	18824
522	20594	18783
523	20626	18737
524	20661	18693
525	20697	18651
526	20734	18610
527	20773	18570
528	20815	18533
529	20851	18490
530	20891	18452
531	20933	18415
532	20975	18377
533	21013	18337
534	21049	18295
535	21088	18255
536	21123	18212
537	21156	18168
538	21199	18131
539	21241	18094
540	21283	18057
541	21326	18021
542	21368	17984
543	21418	17954
544	21464	17919
545	21503	17880
546	21547	17844
547	21594	17811
548	21637	17774
549	21681	17739
550	21719	17698
551	21753	17655
552	21786	17610
553	21818	17565
554	21853	17522
555	21886	17477
556	21923	17436
557	21957	17393
558	21990	17348
559	22023	17304
560	22057	17261
561	22092	17217
562	22132	17179
563	22165	17135
564	22202	17093
565	22239	17053
566	22279	17013
567	22314	16971
568	22358	16935
569	22403	16900
570	22452	16868
571	22500	16836
572	22537	16795
573	22575	16754
